t,x,y
s,m,m
0.0,0.008,0.012
0.05,0.105,0.233
0.1,0.211,0.453
0.15,0.317,0.635
0.2,0.436,0.801
0.25,0.546,0.945
0.3,0.652,1.051
0.35,0.767,1.131
0.4,0.873,1.191
0.45,0.983,1.229
0.5,1.089,1.246
0.55,1.216,1.237
0.6,1.322,1.203
0.65,1.432,1.131
0.7,1.538,1.055
0.75,1.657,0.941
0.8,1.767,0.809
0.85,1.886,0.652
0.9,2.009,0.466
0.95,2.115,0.262
1.0,2.225,0.029
1.05,2.339,-0.224
